key,en,es,fr,ja,ka,pt,ru,uk
[wave][center]You Finally Understand Flesh,[wave][center]You Finally Understand Flesh,,,[wave][center]やっと肉の理解ができるようになった。,,[wave][center]Você Finalmente Entende Carne,[wave][center]Теперь Ты Понимаешь Мясо,
Orb,Orb,Orbe,Orbe,オーブ,სფერო,Orbe,Сфера,
[center]and I just felt like I could keep running forever...,[center]and I just felt like I could keep running forever...,,,[center]一生走り続けられる気がした。,,[center]e eu sentia como se pudesse continuar a correr para sempre...,"[center]Было чувство, словно я могу бежать вечно...",
"Pheremones are incredibly important to a building's lifecycle.
When it's time to reproduce and die, a building will produce
special pheremones (black mold) to repel its current hosts
and promote habitation of its children.","Pheremones are incredibly important to a building's lifecycle.
When it's time to reproduce and die, a building will produce
special pheremones (black mold) to repel its current hosts
and promote habitation of its children.",,,"ライフサイクルにとってフェロモンというのはかなり重要な役割を持っている。
交尾をし、そして死ぬ時ビルは特別なフェロモンを作り、子どもが
育つための環境を作るんだ。",,"Feromônios são importantíssimos no ciclo de vida de um edifício.
Quanto é hora de se reproduzir e morrer, um edifício produz um feromônio especial (fungo negro) que repele os seus hospedeiros atuais pra poder promover a habitação dos seus filhos.","Феромоны играют крайне важную роль в цикле жизни здания.
Когда приходит время размножаться и умирать, здание выделяет особый феромон (чёрную плесень), чтобы оттолкнуть своих нынешних жителей, и поспособствовать заселению их детей.",
"Sounds lovely. 
I'll look forward to that.","Sounds lovely. 
I'll look forward to that.","Suena encantador.
Lo espero con ansias.","Ça a l'air super. 
J'ai déjà hâte ! ","素晴らしい考えだ。
楽しみにしている。","მშვენივრად ჟღერს.
სიამოვნებით ველი მაგას.","Soa amável. 
Estarei ansioso por isso.","Прекрасно звучит. Жду с нетерпением. 
",
"Her skin is rougher than you expected, covered in a thin layer of fur.","Her skin is rougher than you expected, covered in a thin layer of fur.",,,肌が想像以上にザラザラしている。毛も生えてる。,,"Sua pele é mais áspera do que você esperava,
coberta por uma fina camada de pelos.","Её кожа грубее, чем ты ожидала.",
Testing Complete,Testing Complete,,,テスト完了,,Teste Completo,Тестирование зввершено,
Quit Game,Quit Game,Salir del Juego,Quitter le Jeu,終了,თამაშიდან გამოსვლა,Sair do Jogo,Выйти из Игры,
"[center]Man's best friend, huh?","[center]Man's best friend, huh?",,,[center]人の最良の友ねぇ・・・,,"[center]Melhor amigo do homem, huh?","[center]Лучший друг человека, говорите?..",
"You reach out to playfully yank her hair, but she doesn't let you. She's mean, why would she do that?","You reach out to playfully yank her hair, but she doesn't let you. She's mean, why would she do that?","Te acercas para juguetonamente tironearle el cabello, pero no te deja. ¡Qué mala!, ¿por qué haría eso...?","Tu tends la main pour t'amuser à lui tirer les cheveux, mais elle ne te laisse pas le faire. Elle est méchante, pourquoi ne se laisse-t-elle pas faire ? ",ふざけて髪を引っ張ろうとしたら、止めさせられた。なぜそんなことをするだろう？酷いなぁ・・・。,"შენ გაიწოდე ხელი მხიარულად თმის მოსაქაჩად, მაგრამ არ გაცლის. ბოროტია, რატომ გააკეთა ეს?","Você se estende para puxar o cabelo dela de forma brincalhona, mas ela não deixa.
Ela é chata, por que ela faria isso?","Ты тянешь руку, чтобы игриво потянуть её за волосы, но она не даёт этого сделать. За что она так со мной?",
Touch,Touch,Tocar,Toucher,手に取る,შეხება,Tocar,Потрогать,
The Symbol Person is grinding on the inside of their blood.,The Symbol Person is grinding on the inside of their blood.,,,印の人間は血を浴びている。,,A Pessoa Símbolo está se moendo por dentro do próprio sangue.,Кровь Человека-Символа скрежещет. ,
"Food has been hard to come by. We have to go out searching, and sometimes those who go looking don't come back. It's impossible to raise livestock down here. If you find any food, please, bring it here.","Food has been hard to come by. We have to go out searching, and sometimes those who go looking don't come back. It's impossible to raise livestock down here. If you find any food, please, bring it here.","Ha sido difícil encontrar comida. Tenemos que salir para encontrarla, y a veces esos que salen en la búsqueda no regresan. Es imposible criar ganado aquí abajo. Si encuentras alguna comida, por favor, tráela.","La nourriture se fait rare. Nous devons nous en aller pour en chercher, et parfois ceux qui partent ne reviennent jamais. C'est impossible de faire de l'élevage ici-bas. Si tu trouves un peu de nourriture, apporte là nous, s'il te plait. ",最近食べ物がなかなか見つからない。食い物を探すに行く必要がある。だが探しに行った人が戻らないこともある。ここでは家畜を育てるなんて無理だ。もし食べ物を見つけたら、ここに持ってきてね。,"საჭმელი იშვიათი საპოვნია. გვიწევს გავიდეთ საპოვნელად, და ხანდახან ვინც მიდის საძებრად არ ბრუნდება. შეუძლებელია საქონლის აქ გაზრდა. თუ საჭმელს იპოვი, გთხოვ, აქ მოიტანე.","Comida tem sido difícil de encontrar. Temos de ir lá fora procurar, e as vezes quem vai não volta. É impossível criar gado aqui. Se você encontrar qualquer comida, por favor, traga-a aqui.","Еду сейчас сложно найти. Нам приходится выходить на её поиски, и не все возвращаются. Скот тут тоже не вырастишь, так что если найдешь еду – пожалуйста, принеси её нам. ",
New Secondary Locations,New Secondary Locations,,,新セコンダリーロケーション,,Novos Locais Secundários,,
Those things that make you so happy and make your toes curl?,Those things that make you so happy and make your toes curl?,,,こぶしを勝手に握っちゃうほどの喜びを与えてくれるものか？,,Aquelas coisas que lhe fazem tão feliz e fazem seus dedos encaracolarem?,"Что заставляет тебя чувствовать счастье, а пальцы ног подрагивать?",
[center]...but that it was dipping its toes into some other water...,[center]...but that it was dipping its toes into some other water...,,,[center]・・・だけどやっぱり何かが違うった感じはしたんだ・・・,,[center]...mas que estivesse mergulhando os dedos dos pés numa outra água...,"[center]Но ещё я ощутил, будто что-то изменилось...",
"Hey, so you got the DNA Sample, right? Good, good. That means we can cook something up that'll really hurt this clog. It's just a matter of finding the right corruption, eh?","Hey, so you got the DNA Sample, right? Good, good. That means we can cook something up that'll really hurt this clog. It's just a matter of finding the right corruption, eh?",,,なあ、DNAサンプルは手に入れたんだろ？よかったよかった。今回はかなりクロッグを痛めつけられる物が作れそうだ。あとは適切な腐敗物を見つけるだけだな。,,"Ei, então você consegiu a Amostra de DNA, certo? Bom, bom. Isso significa que nós podemos cozinhar algo que vai realmente fazer um estrago nesse entupimento. É só uma questão de encontrar a corrupção correta, eh?","Значит, образец ДНК у тебя? Хорошо, хорошо. Это значит, что мы можем сделать что-нибудь, что хорошенько вдарит по засору. Главное подобрать подходящую порчу, верно?",
MODS,MODS,,,モッド,,MODS,МОДЫ,
[wave][center]You Finally Understand Concepts,[wave][center]You Finally Understand Concepts,,,[wave][center]やっとコンセプトの理解ができるようになった。,,[wave][center]Você Finalmente Entende Conceitos,[wave][center]Теперь Ты Понимаешь Концепции,
[center]In the mire beneath the darkness of the world...,[center]In the mire beneath the darkness of the world...,,,[center]この世界の泥の下に残され・・・,,[center]Na lama debaixo da escuridão do mundo...,"[center]В трясине, под мраком мира...",
[center]Splashing her near-skeletal hands in and out of the frothy remains-,[center]Splashing her near-skeletal hands in and out of the frothy remains-,,,[center]骨が見えそうな手で血の湯に触れている姿・・・,,[center]Espirrando suas mãos quase-esqueléticas dentro e fora dos restos espumosos-,[center]Погружая свои почти скелетные руки в вспенившиеся останки-,
[wave][center]Huh?,[wave][center]Huh?,,,[wave][center]ん？,,[wave][center]Huh?,[wave][center]Чего?,
[center]LET'S HAVE FUN TODAY.,[center]LET'S HAVE FUN TODAY.,,,[center]今日は楽しむぞ！,,[center]VAMOS SE DIVERTIR HOJE.,[center]ДАВАЙТЕ ПОВЕСЕЛИМСЯ!,
The Paragon is squishy and full of numbers.,The Paragon is squishy and full of numbers.,,,パラゴンは柔らかくて数字だらけだ。,,O Paragão é mole e cheio de números.,Парагон мягкий и полный цифр.,
"The Allele has a soft spot for organic lifeforms, but is unfortunately stuck working on Inanimate DNA for the time being.","The Allele has a soft spot for organic lifeforms, but is unfortunately stuck working on Inanimate DNA for the time being.",,,アレーレはかなり生物が好きなんだ。だけど残念ながらDNAの仕事をしないといけないんだ。,,"O Alelo tem um fraco por formas de vida orgânicas, mas infelizmente está ocupado trabalho no DNA Inanimado, por agora.","Аллель неравнодушна к органическим формам жизни, но, к сожалению, вынуждена работать над неживой ДНК.",
"[center][wave]I am the King of all Dogs,
and I bring you a very important warning.","[center][wave]I am the King of all Dogs,
and I bring you a very important warning.","[center][wave]Yo soy el Rey de todos los Perros,
y le traigo una importante advertencia.","[center][wave]Je suis le Roi de tous les Chiens, et je vous apporte de graves nouvelles. ","[center][wave]俺は犬の王様だ！
重要な注意をしに来たワン。","[center][wave]მე ვარ ძაღლების მეფე, და მომაქვს ძალიან მნიშვნელოვანი გაფრთხილება.","[center][wave]Eu sou o Rei de todos os Cães, e te trago um aviso muito importante.","[center][wave]Я – Король всех Собак, и я к вам с очень важным предупреждением. ",
[wave]You got an Egg of the Earth,[wave]You got an Egg of the Earth,[wave]Consigues un Huevo de la Tierra,[wave]Tu as trouvé un Œuf de la Terre,[wave]地球の卵を取得した！,[wave]შემ აიღე დედამიწის კვერცხი,[wave]Você conseguiu um Ovo da Terra ,[wave]Ты нашла Яйцо Земли,
"What a shame. Our young buildings are afflicted with a bad case of parasitic silkworms. Even if we kill all of them, it'll take months for the open sores to heal.","What a shame. Our young buildings are afflicted with a bad case of parasitic silkworms. Even if we kill all of them, it'll take months for the open sores to heal.",,,残念だ。若い建物が寄生虫にやられてるみたいだ。もし全部殺せたとしても傷が完治するまで何ヶ月もかかりそうだ。,,"É uma pena. Nossos tão jovens edíficios foram afligidos com um terrível caso de parasitagem de bichos-da-seda. Mesmo se matarmos todos, vai levar meses até as feridas abertos sararem.","Какая досада. Шелкопряды-паразиты заполонили наши новые постройки. Даже если мы перебьём их, уйдут месяцы на залечивание ран.",
"A strange metal block. You don't know what it does, but it must do something, right?","A strange metal block. You don't know what it does, but it must do something, right?",,,不思議な金属のブロック。,,"Um estranho bloco de metal. Você não sabe o que ele faz, mas deve fazer algo, não é?","Внутренний Человек отчасти похож на улитку, а отчасти – на свободнейшую душу.",
Rust and sweat.,Rust and sweat.,Óxido y sudoración.,De la rouille et de la transpiration. ,錆と汗。,ჟანგი და ოფლი.,Ferrugem e suor.,Ржавчина и пот.,
"[center][wave]Finger movements and speaking.
Words I know but have never heard.","[center][wave]Finger movements and speaking.
Words I know but have never heard.","[center][wave]Movimientos de dedos y palabras.
Palabras que conozco pero que nunca escuché.","[center][wave]Mes doigts bougent et parlent. 
Utilisant des mots que je connais mais que je n'ai jamais entendus.","[center][wave]指の動きと話し声。 
聞いたことないけど知っている言葉。","[center][wave]თითების მოძრაობები და ლაპარაკი.
სიტყვები რაც ვიცი, მაგრამ არასდროს გამიგია.","[center][wave]Movimentos de dedos e
fala.
Palavras que conheço mas nunca ouvi.","[center][wave]Я двигаю пальцами и говорю.
Слова, которые я знаю, но никогда не слышала.
",
Woof!,Woof!,¡Guau!,Wouf !,ワン！,აფ აფ!,Au! Au!,Гав!,
The Thrait Woman backs away from your touch.,The Thrait Woman backs away from your touch.,,,触れようとしたらスレイトの女性が下がった。,,A Mulher Thrait recua do seu toque.,Трейт отступает от твоего прикосновения.,
"She feels like a smile, and touches like a day!","She feels like a smile, and touches like a day!","¡Ella se siente como una sonrisa, y su tacto es como un día!",Elle sent comme un sourire et touche comme un jour ! ,彼女から「笑顔」と「日」のようなオーラを感じる。,ის ღიმილივით იგრძნობა და დღესავით ეხება.,"Ela sente como se fosse um sorriso, e toca-se como o dia!","Она ощущается как улыбка, а на ощупь – как день!",
"A rusted, but very special key.","A rusted, but very special key.",,,錆びている特別な鍵。,,"Enferrujada, porém muito especial.","Ржавый, но очень важный ключ.",
[center]Don't worry.,[center]Don't worry.,,,[center]心配するな。,,[center]Não se preocupe.,[center]Не волнуйся.,
Nobody listening can do anything.,Nobody listening can do anything.,Nadie que escuche puede hacer nada.,"
Aucune personne qui nous écouterais ne peut arrêter quoi que ce soit. ",聞いていても誰にもできることがない。,ვინც არ უნდა გვისმენდეს არაფერი შეუძლია გააკეთოს.,Ninguém ouvindo pode fazer qualquer coisa.,Никто из слушающих всё равно ничего не сможет сделать.,
The Building Bed is covered in taproot sludge.,The Building Bed is covered in taproot sludge.,,,ビルディングが直根の粘膜に覆われている。,,O Berço de Edifícios está coberto por lodo da raiz.,Фундамент покрыт слизью корневища.,
"[center][wave]No matter, it happens to the best of us.
We have more important things at hand.","[center][wave]No matter, it happens to the best of us.
We have more important things at hand.","[center][wave]No importa, le ocurre al mejor de nosotros.
Tenemos asuntos más importantes.","[center][wave]Peu importe, cela arrive aux meilleurs d'entre nous. 
Il y a plus urgent pour l'instant. ","[center][wave]構わないで、誰でもこうなる時がある。
やらなきゃいけないこと、他にもあるだろ。","[center][wave]არ აქვს მნიშვნელობა, ყველას ემართება.
ხელში უფრო მნიშვნელოვანი საკითხი გვაქვს.","[center][wave]Não importa, acontece com os melhores de nós.
Nós temos coisas mais importantes a tratar.","[center][wave]Ничего, с каждым бывает. Нас ждут куда более важные дела.",
"You reach out to touch her face, but the Thrait Woman bats away your hand, shooting you an accusitory stare.","You reach out to touch her face, but the Thrait Woman bats away your hand, shooting you an accusitory stare.","Alcanzas a tocar su rostro, pero la mujer Thrait aparta tu mano, dirigiéndote una mirada acusadora.","Tu tends la main pour toucher son visage, mais la Femme Rapiécée la rejette, te lançant un regard inquisiteur. ",顔を触ろうとしたら、スレイト人女性に手を払い除けられ、睨まれた。,"ცდილობ მის სახეს შეეხო, მაგრამ ტრაიტ ქალი შენს ხელს გვერდზე წევს და დამადანაშაულებლად გიყურებს.","Você se estende para tocar a face dela, mas a Mulher Thrait afasta a sua mão, atirando-lhe um olhar acusatório.","Ты тянешься к её лицу, но Трейт отмахивает твою руку и осуждающе смотрит в ответ.",
"[center][wave]It will change more. Perhaps that is inevitable.
Let us awaken your siblings.","[center][wave]It will change more. Perhaps that is inevitable.
Let us awaken your siblings.","[center][wave]Va a cambiar más. Tal vez eso es inevitable.
Déjanos despertar a tus hermanos.","[center][wave]Il changera de nouveau. Peut-être est-ce inévitable. 
Réveillons tes frères et sœurs. ","[center][wave]これからも変わっていく。おそらくそれは避けれないだろう。
兄弟を起こそう。","[center][wave]ის კიდევ შეიცვლება. ალბათ ეს გარდაუვალი არის.
მოდი გავაღვიძოთ შენი და-ძმები.","[center][wave]Irá mudar mais. Talvez seja inevitável.
Vamos despertar os teus irmãos.","[center][wave]Возможно, изменения продолжатся. Возможно, это неизбежно.
Давай разбудим твоих братьев и сестёр. 
",
The paragon is slightly rough to the touch.,The paragon is slightly rough to the touch.,,,パラゴンは少しザラザラしている。,,O paragão é um pouco rígido ao toque.,Парагон на ощупь немного жёсткий.,
[wave][center]A nail? What can you do with a nail?,[wave][center]A nail? What can you do with a nail?,,,[wave][center]釘を？釘で何ができるって言うんだ？,,[wave][center]Um prego? O que dá pra fazer com um prego?,[wave][center]Гвоздь? А зачем тебе гвоздь?,
"Of course, we will never live to see our buildings flourish, but we know that.
It's a thankless job, but an important one.","Of course, we will never live to see our buildings flourish, but we know that.
It's a thankless job, but an important one.",,,もちろん私たちのビルが栄える姿を見る日は来ないだろう。注目される職業ではないが重要な役割を果たしている。,,"Claro, nós nunca viveremos o suficiente pra ver os nossos edíficios florescerem, nós sabemos disso. É um trabalho ingrato, mas é importante.","Мы знаем, что никогда не доживём до расцвета наших зданий. Это неблагодарная, но очень важная работа.",
"Blood Food Hungry Eat Need Run Fell Cut Open
Warm Fell Want Grab Kill Find Fuck Use Penetrate
Teeth Sharp Touch Smell Taste Hair Rough Wet
Cold Rip Look Hide Run Scream Terror Impulse","Blood Food Hungry Eat Need Run Fell Cut Open
Warm Fell Want Grab Kill Find Fuck Use Penetrate
Teeth Sharp Touch Smell Taste Hair Rough Wet
Cold Rip Look Hide Run Scream Terror Impulse",,,血　飯　空腹　食事　必要　逃げる　落ちる　切る　開ける　温かい　落ちる　欲しい　奪う　殺す　探す　犯す　貫く　歯　鋭い　触る　臭い　味　毛　ザラザラ　濡れてる　冷たい　破れる　見る　隠す　逃げる　叫ぶ　恐怖　衝動,,Sangue Comida Fome Comer Precisar Correr Cair Cortar Aberto Quente Sentir Querer Pegar Matar Encontrar Foder Usar Penetrar Dente Afiado Tocar Cheirar Saborear Cabelo Áspero Molhado Gelado Rasgar Olhar Esconder Correr Gritar Terror Impulso,"Кровь Еда Голод Есть Нужно Бежать Падать Вскрыть
Тепло Падать Хотеть Хватать Убить Найти Трахнуть Использовать Проткнуть
Зубы Острые Трогать Запах Пробовать Волосы Грубые Мокрые
Холодно Рвать Смотреть Прятаться Бежать Кричать Ужас Импульс",
[wave][center]You're mean!,[wave][center]You're mean!,,,[wave][center]意地悪！,,[wave][center]Você é malvada!,[wave][center]Вредина!,
[wave][center]Continue to your destination.,[wave][center]Continue to your destination.,,,[wave][center]目的地に進む,,[wave][center]Continue à sua destinação.,[wave][center]Продолжай путь к цели.,
Elder Thrait,Elder Thrait,,,エルダースレイト,,Thrait Idoso,Трейт-Старейшина,
"An unknown syringe, with some sort of purple stuff in it?","An unknown syringe, with some sort of purple stuff in it?",,,紫の液体が入った、謎の注射器。,,"Uma seringa estranha, com alguma coisa roxa nela?",Непонятный шприц с чем-то фиолетовым внутри.,
"Plato is before you.
He quivers and shakes in a perverse way.","Plato is before you.
He quivers and shakes in a perverse way.","Platón está enfrente tuyo.
Él tiembla y se agita de una forma perversa.","Platon est devant toi.
Il s'agite et tremble de manière perverse. ",プラトンが目の前にいる。ひねくれた動きをして震えている。,"შენ წინ არის პლატონი.
ის გარყვნილად კანკალებს და ირყევა.","Platão está diante de você.
Ele treme e respinga de um jeito perverso.","Перед тобой Платон. 
Он трясётся и дрожит извращённым образом. 
",
"The Innerman shakes and wobbles, dripping profusely out of the front.
It's making a clicking noise with its throat.","The Innerman shakes and wobbles, dripping profusely out of the front.
It's making a clicking noise with its throat.",,,"インナーマンが激しく体を揺らしている。
喉で変な音も鳴らしている。",,"O Homeminterno treme e balança, pingando fortemente pela frente. Ele está fazendo um barulho de cliques com a garganta.","Внутренний Человек трясется, шатается, щёлкает горлом и обильно вытекает.",
The Girl Structure Floats Happily.,The Girl Structure Floats Happily.,La Estructura de la Chica Flota Felizmente.,La Structure de Fille Flotte Joyeusement. ,女子の構成がのんびりと浮かんでいる。,გოგოს სტრუქტურა ტივტივებს მხიარულად.,A Estrutura de Garota Alegremente Flutua.,Девичья композиция радостно плавает.,
"[center][wave]a world hidden in plain sight, 
with all sorts of animals and creatures and dead bodies","[center][wave]a world hidden in plain sight, 
with all sorts of animals and creatures and dead bodies","[center][wave]un mundo oculto a simple vista, 
con todo tipo de animales y criaturas y cadáveres","[center][wave]un monde caché à la vue de tous, 
ou se trouvent toute sorte d'animaux, de créatures et de cadavres ","[center][wave]
さまざまな動物や変わった生物、そして死体だらけの世界だ・・・","[center][wave]სამყარო დამალული ჩემ თვალწინ, ყველანაირი ცხოველებით, არსებებით და მკვდარი სხეულებით","[center][wave]um mundo escondido à vista de todos, com cada tipo de animal e criatura e defunto","[center][wave]Спрятанный на виду, с различными видами животных, существ и мёртвых тел
",
Kids Ending,Kids Ending,,,キッズエンディング,,,,
"Her form has taken up the entire room,
swollen from years of gestation and propagation.
After all this time, look at that lovely smile!","Her form has taken up the entire room,
swollen from years of gestation and propagation.
After all this time, look at that lovely smile!","Su forma ha tomado toda la habitación,
hinchada de años de gestación y propagación.
Después de todo este tiempo, ¡admira esa dulce sonrisa!","Sa taille remplit la pièce entière, elle a gonflé du a des années de grossesse et de propagation.
Mais même après tout ça, regardez-moi ce beau sourire ! ","""彼女の姿は部屋中に広がり、長年の妊娠と繁殖で膨れ上がっている。
久しぶりに見た、あの愛らしい笑顔！""","მის სხეულს მთელი ოთახი აქვს დაიკავებული,
გაბერილი წლების ორსულობით და გამრავლებით.
ამდენი დროის შემდეგ, შეხედე მის საყვარელ ღიმილს!","A forma dela toma a sala inteira, inchada após anos de gestação e propagação. 
Após todo esse tempo, olha esse sorriso lindo!","Она заняла всю комнату, распухнув от многих лет беременности и размножения. Смотри, какая милая улыбка!",
"[wave][center]Deeper into the Earth.
Deeper into Dirt and Rock
and Veins and Sinew.","[wave][center]Deeper into the Earth.
Deeper into Dirt and Rock
and Veins and Sinew.","[wave][center]Profundo, dentro de la Tierra. 
Más profundo, dentro de la Tierra y Roca
y Venas y Tendones.","[center][wave]Plus profondément dans la Terre. 
Plus profondément dans le Sol et la Roche.  
Et dans les Veines et les Tendons. ","[wave][center]だんだん地球の深くへ。
どんどん深くへと土、石、そして血管と筋肉を通って。","[wave][center]უფრო და უფრო ღრმად დედამიწაში.
ღრმად მიწაში და ქვებში
და ვენებში და ხრტილში.","[wave][center]Fundo dentro da Terra.
Muito fundo dentro do Solo e Rocha
e Veias e Tendão.","[wave][center]Глубже в Землю. Глубже в Грязь и Камень, в Вены и Сухожилия.",
"[center]Warning

This game contains 
disturbing, violent, and uncomfortable 
images and text.","[center]Warning

This game contains 
disturbing, violent, and uncomfortable 
images and text.","[center]Advertencia

Este juego contiene 
imágenes y texto 
violentos, perturbadores e incómodos.","[center] Avertissement 

Ce jeu contient 
des images et du texte qui sont 
violents, étranges et perturbants. ",[center]警告: このゲームには暴力、冒涜、死に関する内容が含まれています。ご自身の判断でプレイしてください。,"[center]საფრთხე

ეს თამაში შეიცავს შაშიშ, ძალადობრივ და არასასიამოვნო სურათებს და ტექსტს.","[center]Atenção: Este jogo contém cenas e descrições fortes, violentas e pertubadoras.","[center]Предупреждение:
Игра содержит пугающие, жестокие, неприятные сцены и описания.
",
"I was right about everything in my life except for the Cave. I was totally off the mark with that.
No matter. There is no better sound than the sound of children. The Touch of children. The smell of children.
Socrates agrees with me, so you know it's good and right.","I was right about everything in my life except for the Cave. I was totally off the mark with that.
No matter. There is no better sound than the sound of children. The Touch of children. The smell of children.
Socrates agrees with me, so you know it's good and right.","En mi vida tuve razón en todo, exceptuando en la Cueva. Estuve completamente equivocado en eso.
No importa. No hay mejor sonido que el sonido de los niños. El Tacto de los niños. El olor de los niños.
Sócrates concuerda con eso, así sabes que es correcto y está bien.","J'avais raison sur tout dans ma vie sauf pour la métaphore de la Caverne. C'était absolument n'importe quoi.
Peu importe. Il n'y a pas meilleur bruit ceux que font les enfants. Pas meilleur toucher que celui des enfants. Pas meilleure odeur que celle des enfants.
Socrate est d'accord avec moi, donc ça veut dire que c'est bien et normal. ","洞窟のこと以外は全て予想通りだった。 洞窟は大きな誤算だった。
まあ、いい。子供の声以上に聞いてて喜びが湧く音はない。子供を触ることも。子供の匂いを嗅ぐことも。
ソクラテスも同じ意見だったから、正しいに違いない。","მართალი ვიყავი ყველაფერზე გამოქვაბულის გარდა. მაგაზე სრულიად არასწორი ვიყავი.
არ აქ მნიშვნელობა. ბავშვების ხმაზე უკეთესი ხმა არ არსებობს. ბავშვების შეხება. ბავშვების სუნი.
სოკრატე მეთანხმება, ამიტომ იცი რომ მართალი და სწორია.","Eu estava correto em tudo na minha vida exceto pela Caverna. Eu estava totalmente equivocado com aquilo.
Não importa. Não há melhor som do que o som de crianças. O toque de crianças. O cheiro de crianças.
Sócrates concorda comigo, então é fato que isso é bom e correto.","Я был прав обо всем, кроме Пещеры. С этим я полностью промахнулся. 
Не суть. Нет звука лучше, чем звук детей. Прикосновение детей. Запах детей. 
Сократ со мной согласен, так что знай - это хорошо и правильно.
",
[wave][center]I like hammers better.,[wave][center]I like hammers better.,,,[wave][center]私はハンマーの方が好きなんだけどな。,,[wave][center]Eu gosto mais de martelos.,[wave][center]Мне больше нравятся молотки.,
The Building Bed loves buildings so fucking much.,The Building Bed loves buildings so fucking much.,,,ビルディングベッドはビルのことがかなり好きなんだ。,,O Berço de Edifícios ama edifícios pra caralho.,Фундамент пиздец как любит здания.,
The Evren Scout is too proud to be touched.,The Evren Scout is too proud to be touched.,,,エブレンスカウトは傲慢すぎて触れない。,,O Escoteiro Evren é orgulhoso demais para ser tocado.,"Эвренский Разведчик слишком горд, чтобы быть тронут.",
"[wave]Real World Tip:
You will never get ahead in life if you doubt yourself for even one moment.","[wave]Real World Tip:
You will never get ahead in life if you doubt yourself for even one moment.",,,"[wave]現実世界ヒント：
人生で成功したいなら一瞬でも自分の実力を痛がってはいけない。",,[wave]Você nunca seguirá em frente na vida se você dúvidar de si mesmo por até um momento.,"[wave]Подсказка для Реального Мира:
Ты никогда не продвинешься в жизни, если будешь хоть сколько-то сомневаться в себе.",
Head like a DOA.,Head like a DOA.,,,DOAのような頭。,,Cabeça como se estive morto na chegada.,Голова скончалась до прибытия.,
"[center][wave]there are catacombs hidden under 
every public government building","[center][wave]there are catacombs hidden under 
every public government building","[center][wave]allí hay catacumbas ocultas bajo 
cada edificio público del gobierno","[center][wave]il y a des catacombes cachées sous
tous les bâtiments gouvernementaux publics","[center][wave]
全ての政府の建物の下には地下墓地がある。",[center][wave]ყოველი სახელმწიფო შენობის ქვეშ კატაკომბები არის დამალული,[center][wave]há catacumbas escondidas debaixo de cada edifício público do governo ,[center][wave]Под каждым государственным зданием спрятаны катакомбы,
The child smiles at you. There are more folds under their eyes than there should be.,The child smiles at you. There are more folds under their eyes than there should be.,,,子どもがこっちに向かって笑っている。目のしわがすごい。,,A criança sorri para você. Há mais dobras sob os olhos dela que devem haver.,"Ребёнок улыбается тебе. Под глазами у него больше складок, чем должно быть.",
Bromine,Bromine,,,臭素,,Bromo,Бром,
"[center] If you are outside, find the nearest shelter.","[center] If you are outside, find the nearest shelter.",,,[center]もし外にいるのであれば、早急に避難してください。,,"[center] Se você está fora, encontre o abrigo mais próximo.","[center]Если вы на улице, найдите ближайшее укрытие.",
"[wave]Real World Tip:
There is at least one biocomputer mainframe stored in every public government building.","[wave]Real World Tip:
There is at least one biocomputer mainframe stored in every public government building.","[wave]Consejo del Mundo Real:
Hay al menos una biocomputadora central almacenada en cada edificio público gubernamental.","[wave]Conseil pour le Monde Réel : 
Il y a toujours un serveur d'un bio-ordinateur dans chaque bâtiment gouvernemental.","[wave]現実世界ヒント：
全ての公共施設には、 少なくとも1台のバイオコンピューターのメインフレームがあるらしい。","[wave]ნამდვილი სამყაროს მინიშნება:
ყველა საჯარო შენობაში მინიმუმ ერთი ბიოკმპიუტერ მეინფრეიმი არის.","[wave]Dica do Mundo Real: 
Há pelo menos um biocomputador central armazenado em cada prédio público do governo.","[wave]Подсказка для Реального Мира: 
В каждом государственном здании есть как минимум один биокомпьютерный мейнфрейм. 
",
caricature caricature caricature caricature caricature caricature caricature caricature caricature caricature caricature,caricature caricature caricature caricature caricature caricature caricature caricature caricature caricature caricature,,,劇画　劇画　劇画　劇画　劇画　劇画　劇画　劇画　劇画　劇画　劇画　,,"caricatura caricatura caricatura caricatura 
caricatura caricatura caricatura caricatura 
caricatura caricatura caricatura","карикатура карикатура карикатура 
карикатура карикатура карикатура
карикатура карикатура карикатура",
"[wave][center]It's my nail! I need it, so give it!","[wave][center]It's my nail! I need it, so give it!",,,[wave][center]それは私の爪！必要なんだ！返してくれ！,,"[wave][center]É o meu prego! Eu preciso dele, então me dê!","[wave][center]Это мой гвоздь! Мне он нужен, отдай!",
